_id,day,difficulty,guesses_used,id,month,riddle_id,score,time_remaining,timestamp,user_id,username
69366579da08fde885ac3a22,8,easy,1,699221b5-ef7e-45fc-a801-b0fb3f63af64,2025-12,3527ceaeb20aff2cc1112af8bf39bb875afd51f8637b24a9921c8913dd5762c5,432,111,2025-12-08T05:43:21.858834+00:00,02d648a1-2aa0-4cce-be8f-f4a8f5f00a88,test
6936658bda08fde885ac3a25,8,medium,1,11e7a33b-0703-429b-8677-b66ba4bdc66c,2025-12,60325badde3869c41cb281d805dbff35c7a16b587a2d11d4559ae171c3e86007,392,111,2025-12-08T05:43:39.655317+00:00,02d648a1-2aa0-4cce-be8f-f4a8f5f00a88,test
6937139a824ee4b9f9eaa8df,8,hard,2,c3c79447-3a76-436f-801d-973090b2d572,2025-12,cf138c64a1ac41d76ef6eae8d2f62db203b5b8d35d1059674d8399de0a5ada30,164,37,2025-12-08T18:06:18.438305+00:00,02d648a1-2aa0-4cce-be8f-f4a8f5f00a88,test
6938b0344a00f1f2b0db9f10,9,medium,1,372fd718-2105-42e8-832e-69be374fcc17,2025-12,52f7cc2ab633c5549f360c06c44c9a725deb08cc76dbac2e5698661892ed1e4a,406,118,2025-12-09T23:26:44.916400+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435,test12
6938bc3e4a00f1f2b0db9f17,10,easy,1,b40ad9eb-3c50-423d-a5f4-e5c7d0644150,2025-12,a71def97653a528990d479e37bc92e08322a3d935a2304c2ae9056e630c94386,424,107,2025-12-10T00:18:06.102508+00:00,019e01ab-5944-42e3-8bf4-d8b75c76c07a,test15
6938c1ff4a00f1f2b0db9f1a,10,medium,1,bf5c6651-1f2a-4f0d-91a8-95bf48dfa19c,2025-12,614d25de3bf384c88c40791861fb09df0f73f6831b42ed7ebc11f85939fba622,392,111,2025-12-10T00:42:39.615377+00:00,019e01ab-5944-42e3-8bf4-d8b75c76c07a,test15
6939ea1ec825fc0e560ad0b9,10,easy,1,352afa95-65df-49db-be01-b1e1e782d369,2025-12,f347ce262be6f376473231c2a0ecf7ee186e428e0e1f792e50ac2b11403e4dcc,402,96,2025-12-10T21:46:06.236615+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435,test12
6939ea35c825fc0e560ad0bc,10,medium,1,5731fd60-a0d1-47d5-a51a-4e39a338c75a,2025-12,715a4bd377336e73d712c3afd75779d1f21172e3828982a3020d7803450193b1,384,107,2025-12-10T21:46:29.372046+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435,test12
6939ea3ec825fc0e560ad0bf,10,hard,1,756dae1c-55fe-4263-af89-58cef1d13cfd,2025-12,824591c0880200f396b8d0943acebf89132c66907e138eaa67d5bfeee4d0d9f6,370,115,2025-12-10T21:46:38.441788+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435,test12
693a3417fc9f8eb80b06af46,11,easy,1,f8ded9f7-6c5d-46cd-ae9c-347312d8d16d,2025-12,656a8ac2ad7fb997aeed48e50c313e84817ed6e648cb5b987c42dae68f035d00,210,0,2025-12-11T03:01:43.319503+00:00,8278d365-dd80-4d19-9159-3600cd7edfe4,test46
693a45ee35d1d49988dce702,11,easy,1,1ecf01ab-8fad-4bf7-96cc-59d07cdd8b69,2025-12,764eeb98dc67121b2882fc45fc5b6f99596561242f60cb71fb4a67f53841f991,210,0,2025-12-11T04:17:50.272870+00:00,c3faa559-b634-42f3-8220-c1bdc7311029,test48
693a4f0b543f3b723423a0aa,11,easy,1,ebe1beca-4f9d-4a88-b7d2-7079768ac100,2025-12,fdfb2466b5b49bb33e3179727ef5b4e5f76d0d960e68495da4d73b600d21faf5,442,116,2025-12-11T04:56:43.835770+00:00,a3b8810f-6faf-4307-8438-ab8a7b1eacf5,test13
